"species_name","habitat","percher_flier","start_main_flight_period","end_main_flight_period","sti","sti_sd","partivoltine","semivoltine","univoltine","bivoltine","multivoltine","voltinism_source","overwintering_stage","overwintering_stage_source","oviposition_mode","oviposition_mode_source","larval_strategy"
"Leucorrhinia rubicunda","oligotrophic","percher","April","June","5.59650152999152","3.0917588665067699","0","1","0","0","0","6","larva","6","exophytic","6","sprawler"
"Libellula depressa","eutrophic","percher","April","August","9.6704571254017893","3.2148223951869701","0","1","1","0","0","6","larva","6","exophytic","6","hider"
"Libellula fulva","eutrophic","percher","May","July","10.3263321140978","3.1163802028443199","0","1","0","0","0","6","larva","6","exophytic","6","hider"
"Libellula quadrimaculata","eutrophic","percher","April","August","7.8812699274874802","3.0434562606137399","0","1","1","0","0","6","larva","6","exophytic","6","hider"
"Lindenia tetraphylla","eutrophic","flier_percher","June","July","13.492092920055599","2.2359199507507199","0","0","1","0","0","6","larva","6","exophytic","6","burrower"
"Macromia amphigena","streams and rivers","flier","June","August","NA","NA","NA","1","0","0","0","NA","larva","17","exophytic","17","hider"
"Macromia splendens","southern streams and rivers","flier","May","July","13.663219257708199","1.81522570498612","1","1","0","0","0","6","larva","6","exophytic","6","hider"
"Nehalennia speciosa","oligotrophic","percher","June","July","6.4170294763120204","1.23616776809679","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Onychogomphus cazuma","southern streams and rivers","flier_percher","May","July","NA","NA","0","1","1","0","0","19","larva","19","exophytic","19","burrower"
"Onychogomphus costae","southern streams and rivers","flier_percher","May","August","14.551245991974501","2.1488969292238198","0","1","1","0","0","6","larva","6","exophytic","17","burrower"
"Onychogomphus forcipatus","streams and rivers","flier_percher","May","August","10.317719545211901","3.70787357833425","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Onychogomphus uncatus","southern streams and rivers","flier_percher","June","August","12.7784744543193","2.4121323549552298","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Ophiogomphus cecilia","streams and rivers","flier_percher","June","September","7.5062543199602398","2.5886522118044102","1","1","0","0","0","6","larva","6","exophytic","6","burrower"
"Orthetrum albistylum","eutrophic","percher","May","August","9.9465329124663295","2.31126708779595","0","0","1","0","0","6","larva","6","exophytic","6","hider"
"Orthetrum brunneum","generalist","percher","May","August","11.718565646476801","3.4077425200455198","0","0","1","1","0","6","larva","6","exophytic","6","hider"
"Orthetrum cancellatum","eutrophic","percher","May","August","10.405540866797599","3.5283747516816102","0","1","1","0","0","6","larva","6","exophytic","6","hider"
"Orthetrum chrysostigma","generalist","percher","April","November","16.8136179658214","1.8633325653463","0","0","1","1","1","6","larva","6","exophytic","6","hider"
"Orthetrum coerulescens","generalist","percher","May","October","11.266178206783099","3.5328485911733201","0","1","1","0","0","6","larva","6","exophytic","6","hider"
"Orthetrum nitidinerve","southern streams and rivers","percher","April","September","16.718788833807601","1.84764131006803","0","0","1","0","0","17","larva","6","exophytic","6","hider"
"Orthetrum ransonnetii","southern streams and rivers","flier","January","NA","NA","NA","0","0","1","NA","0","NA","larva","17","exophytic","17","hider"
"Orthetrum sabina","eutrophic","percher","April","September","17.524393670207399","1.2153494153751301","0","0","1","1","0","6","larva","6","exophytic","6","hider"
"Orthetrum taeniolatum","southern streams and rivers","percher","April","October","16.9665852080226","1.2970843003087","0","0","0","1","1","6","larva","6","exophytic","6","hider"
"Orthetrum trinacria","eutrophic","percher","May","September","16.680669675844001","1.4916687972298399","0","0","1","0","0","6","larva","6","exophytic","6","hider"
"Oxygastra curtisii","southern streams and rivers","flier","May","July","12.2178078874247","2.3902596135451901","1","1","0","0","0","6","larva","6","exophytic","6","hider"
"Pantala flavescens","generalist","flier","June","December","NA","NA","0","0","0","1","1","6","NA","NA","exophytic","6","clasper"
"Paragomphus genei","generalist","flier_percher","April","September","15.5842270026679","1.0893389776134701","0","0","1","0","0","6","larva","6","exophytic","6","burrower"
"Platycnemis acutipennis","southern streams and rivers","percher","May","July","12.8806448968559","2.3809342382379199","0","0","1","0","0","6","larva","6","endophytic","6","clasper"
"Platycnemis latipes","southern streams and rivers","percher","May","August","13.3396499550649","2.5305644627960602","0","0","1","0","0","6","larva","6","endophytic","6","clasper"
"Platycnemis pennipes","eutrophic","percher","May","August","9.4265041053760008","3.1128539599309901","0","1","1","0","0","6","larva","6","endophytic","6","clasper"
"Platycnemis subdilatata","southern streams and rivers","percher","April","September","NA","NA","0","0","1","0","0","17","larva","17","endophytic","17","clasper"
"Pyrrhosoma elisabethae","southern streams and rivers","percher","April","June","13.9529602218302","0.77122377733456504","0","0","1","0","0","6","larva","6","endophytic","6","sprawler"
"Pyrrhosoma nymphula","eutrophic","percher","April","July","8.8145796380588592","3.0352837014510898","0","1","1","0","0","6","larva","6","endophytic","6","sprawler"
"Selysiothemis nigra","eutrophic","percher","May","September","15.1593147075824","2.4827312797817398","0","0","1","0","0","NA","larva","NA","exophytic","NA","sprawler"
"Somatochlora alpestris","oligotrophic","flier","June","August","2.7288254781305099","3.5149487998081099","1","1","0","0","0","6","egg_larva","6","exophytic","6","sprawler"
"Somatochlora arctica","oligotrophic","flier","May","August","5.2193526480656303","3.1684371680638002","1","1","0","0","0","6","egg_larva","6","exophytic","6","sprawler"
"Somatochlora borisi","southern streams and rivers","flier","May","July","12.697512118947699","0.59336105664679895","1","1","0","0","0","17","larva","17","exophytic","6","sprawler"
"Somatochlora flavomaculata","temporary waters","flier","May","August","7.7694840322737004","2.6572395456603202","1","1","0","0","0","6","larva","6","exophytic","6","sprawler"
"Somatochlora graeseri","eutrophic","flier","June","August","NA","NA","1","1","0","0","0","6","larva","17","exophytic","17","sprawler"
"Somatochlora meridionalis","streams and rivers","flier","June","August","11.505088774896199","2.5146306305794601","1","1","0","0","0","17","larva","17","exophytic","6","sprawler"
"Somatochlora metallica","eutrophic","flier","May","August","6.4124758701284899","3.2571749694490002","1","1","0","0","0","6","larva","6","exophytic","6","sprawler"
"Somatochlora sahlbergi","oligotrophic","flier","July","July","-0.63574341823022196","1.71817876569457","1","0","0","0","0","6","larva","17","exophytic","17","sprawler"
"Stylurus flavipes","streams and rivers","flier","June","August","9.0972586967223297","2.0118613304328101","1","1","0","0","0","6","egg_larva","6","exophytic","6","burrower"
"Sympecma fusca","eutrophic","percher","March","December","10.848005074721099","3.3380751430634801","0","0","1","0","0","6","adult","6","endophytic","6","sprawler"
"Sympecma paedisca","eutrophic","percher","March","December","6.7874086591524501","1.4173051110610499","0","0","1","0","0","6","adult","6","endophytic","6","sprawler"
"Sympetrum danae","oligotrophic","percher","June","October","6.7606579421621298","2.5935594065173002","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum depressiusculum","temporary waters","percher","July","September","9.0399432247992006","2.5598928028369299","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum flaveolum","temporary waters","percher","June","September","7.6609619664469397","2.29416595923013","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum fonscolombii","eutrophic","percher","April","December","12.589838015119399","3.8555563834582798","0","0","0","1","1","8","egg_larva","8","exophytic","6","sprawler"
"Sympetrum meridionale","temporary waters","percher","May","September","11.9896071081145","3.2569374360763201","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
